City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
597,Zambezi,ZM,78.93,scattered clouds,-13.54,23.1,Royal Kutachika Lodge
599,Catalina,US,87.01,broken clouds,32.51,-110.92,Miraval Arizona Resort & Spa
602,Benguela,AO,78.19,scattered clouds,-12.58,13.41,Hotel Praia Morena
606,Puerto Escondido,MX,86.27,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
610,Cockburn Town,TC,86.0,broken clouds,21.46,-71.14,Osprey Beach Hotel
612,Moctezuma,MX,87.8,scattered clouds,29.8,-109.67,Hotel Lobohombo
613,Acapulco,MX,86.5,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
616,Moratuwa,LK,82.4,scattered clouds,6.77,79.88,Sa Mansion By Yoho
620,Mount Darwin,ZW,78.84,scattered clouds,-16.77,31.58,
623,Manyana,BW,76.14,light rain,-23.4,21.72,
624,San Juan,AR,87.53,clear sky,-31.54,-68.54,Hotel Provincial
628,Kulhudhuffushi,MV,82.71,scattered clouds,6.62,73.07,Haajy Guest House 1
629,Bac Lieu,VN,78.64,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
635,San Rafael,AR,85.21,clear sky,-34.62,-68.33,Hotel San Rafael
636,Pemangkat,ID,80.13,broken clouds,1.17,108.97,Kost H.Syamsuddin
637,Rafaela,AR,79.0,clear sky,-31.25,-61.49,Parra Hotel & Suites
642,Calabazar De Sagua,CU,86.0,broken clouds,22.64,-79.9,Hostal La Terraza
643,Tres Arroyos,AR,77.13,scattered clouds,-38.37,-60.28,Habitacion Triple con baño y entrada privada
644,Ambon,ID,82.0,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
652,Gopalpur,IN,79.32,scattered clouds,19.27,84.92,Swosti Palm Resort
653,Isangel,VU,75.27,clear sky,-19.55,169.27,Volcano Sea View Tree House
654,Reconquista,AR,78.75,clear sky,-29.15,-59.65,Grand Hotel
658,Parrita,CR,77.0,scattered clouds,9.52,-84.32,Beso del Viento
662,Lonavale,IN,84.2,haze,18.75,73.42,The Lagoona Resort
668,Los Llanos De Aridane,ES,82.4,clear sky,28.66,-17.92,Valle Aridane
670,Mier,MX,82.0,clear sky,26.43,-99.15,Hotel Don Jacinto
677,Marsh Harbour,BS,81.36,clear sky,26.54,-77.06,Abaco Beach Resort
682,Poso,ID,82.0,overcast clouds,-1.4,120.75,Hotel 77 Poso
683,Teguise,ES,75.2,few clouds,29.06,-13.56,B&B La Casona de Nazaret
697,Labuhan,ID,78.01,heavy intensity rain,-6.88,112.21,bador sepret
701,Inhambane,MZ,77.0,few clouds,-23.86,35.38,Oceano
