,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Port Lincoln,AU,-34.73,135.87,62.44,68,76,10.42,broken clouds
84,Whitehorse,CA,60.72,-135.05,6.01,77,90,11.41,light snow
85,Colon,PA,9.36,-79.9,81.0,84,85,8.99,overcast clouds
86,Wageningen,NL,51.97,5.67,64.0,93,75,11.41,broken clouds
87,Koutsouras,GR,35.03,25.95,69.01,64,14,11.01,few clouds
88,Jamestown,US,42.1,-79.24,46.0,86,90,23.04,mist
89,Cayenne,GF,4.93,-52.33,87.8,62,95,14.99,light rain
90,Avarua,CK,-21.21,-159.78,75.2,94,88,18.34,overcast clouds
91,Umm Kaddadah,SD,13.6,26.69,88.0,17,0,14.34,clear sky
92,Acarau,BR,-2.89,-40.12,87.01,61,20,18.88,few clouds
93,Rocha,UY,-34.48,-54.33,66.18,50,0,9.75,clear sky
94,Nome,US,64.5,-165.41,10.4,85,1,5.17,clear sky
95,Maua,BR,-23.67,-46.46,62.6,67,75,14.99,broken clouds
96,Shache,CN,38.42,77.24,35.29,81,0,2.15,clear sky
97,Sawtell,AU,-30.38,153.1,64.4,72,90,8.05,overcast clouds
98,Bredasdorp,ZA,-34.53,20.04,64.4,82,0,12.75,clear sky
99,Hilo,US,19.73,-155.09,75.99,69,90,0.94,overcast clouds
100,Itaituba,BR,-4.28,-55.98,98.19,31,39,2.26,scattered clouds
101,Kandrian,PG,-6.22,149.55,78.24,84,90,3.09,moderate rain
102,Sungaipenuh,ID,-2.08,101.38,64.74,91,100,0.67,overcast clouds
103,Phalodi,IN,27.13,72.37,72.68,19,0,2.57,clear sky
104,Tasiilaq,GL,65.61,-37.64,30.2,86,100,6.93,overcast clouds
105,Cherskiy,RU,68.75,161.3,7.23,95,98,8.52,overcast clouds
106,San Patricio,US,28.02,-97.52,80.01,57,20,8.05,few clouds
107,Darhan,MN,49.49,105.92,20.07,77,0,3.44,clear sky
108,Souillac,MU,-20.52,57.52,69.8,68,40,4.7,scattered clouds
109,Kaitangata,NZ,-46.28,169.85,48.0,67,78,4.0,broken clouds
110,Price,US,39.6,-110.81,51.8,27,1,4.85,clear sky
111,Hermanus,ZA,-34.42,19.23,66.0,76,0,8.01,clear sky
112,Ixtapa,MX,20.7,-105.2,84.99,82,1,5.99,clear sky
113,Hirara,JP,24.8,125.28,76.53,72,0,16.28,clear sky
114,Huatulco,MX,15.84,-96.33,91.0,60,23,4.23,few clouds
115,Chokurdakh,RU,70.63,147.92,0.57,94,100,10.27,overcast clouds
116,Vila Velha,BR,-20.33,-40.29,77.0,57,75,18.34,broken clouds
117,Mataura,NZ,-46.19,168.86,48.0,76,71,3.0,broken clouds
118,Verkhoturye,RU,58.86,60.81,27.75,96,0,2.84,clear sky
119,Vila Franca Do Campo,PT,37.72,-25.43,69.8,94,75,16.11,broken clouds
120,Barcelona,ES,41.39,2.16,66.99,88,20,12.75,few clouds
121,Torbay,CA,47.67,-52.73,42.01,51,20,17.22,few clouds
122,Ponta Do Sol,PT,32.67,-17.1,71.6,83,20,4.7,few clouds
123,Matagami,CA,49.75,-77.63,33.8,100,90,4.7,light rain
124,San Vicente,AR,-26.62,-54.13,78.39,33,34,3.22,scattered clouds
125,Tobane,BW,-21.95,27.9,69.8,73,0,8.05,clear sky
126,Sterling,US,39.01,-77.43,53.01,87,90,12.75,overcast clouds
127,Chuy,UY,-33.7,-53.46,66.2,46,0,10.04,clear sky
128,Saint George,US,37.1,-113.58,55.4,19,1,4.41,clear sky
129,Wadi Musa,JO,30.32,35.48,58.71,81,46,2.06,scattered clouds
130,Dzerzhinskoye,RU,56.83,95.23,31.91,98,100,6.91,overcast clouds
131,Alvarado,MX,18.77,-95.77,82.99,47,85,18.99,light rain
132,Chitipa,MW,-9.7,33.27,67.71,74,100,7.63,light rain
133,Santiago Del Estero,AR,-27.8,-64.26,85.98,23,0,8.28,clear sky
134,Bereda,ES,43.27,-7.54,64.99,95,100,15.99,overcast clouds
135,Lorengau,PG,-2.02,147.27,82.62,74,13,6.55,few clouds
136,Bezenchuk,RU,52.98,49.43,42.55,85,60,9.86,broken clouds
